,kal_perif_enothta,kal_perifereia,epo,power_mw,max_power,imerominia_ekdosis_adeias,area_m2,geometry,xmu,ymu
20,ΕΥΒΟΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΟΧΙ,22.4,22.4,5/10/2010,,"MULTIPOLYGON (((24.5909669192571 38.803540313254416, 24.592505461954747 38.805758363439786, 24.594486346600483 38.805757313564676, 24.597137434298723 38.806023152035905, 24.59722352807773 38.809438069635064, 24.59879510944678 38.81006083085155, 24.600363465702667 38.81029609318748, 24.601002733583286 38.81098669162999, 24.609060219771155 38.809061567220645, 24.616511061477347 38.808959411147214, 24.616925200065694 38.808903156343455, 24.617353894718093 38.80786457082178, 24.61745879408356 38.80667449972169, 24.617160155339057 38.80543249142155, 24.61650600551187 38.804363576745146, 24.614930008483036 38.804570134180025, 24.61347140733055 38.80369467442921, 24.610441093527662 38.803521303158156, 24.60804620829184 38.80493958378101, 24.60190072886381 38.80409728602797, 24.603247509681392 38.801287763351695, 24.602624073646968 38.80110173856984, 24.602342845121797 38.80052645216516, 24.59931431720446 38.799172274852694, 24.59239423399797 38.79927965360382, 24.591028623942957 38.801251078125865, 24.5909669192571 38.803540313254416)))",38.80354031,24.59096692
21,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΟΧΙ,2.99,,10/15/2020,,"MULTIPOLYGON (((22.978891995746892 38.36688395425048, 22.982053555230873 38.36582906427646, 22.98071368298787 38.363339957764055, 22.97755221397052 38.364394813288435, 22.978891995746892 38.36688395425048)))",38.36688395,22.978892
22,ΦΘΙΩΤΙΔΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,2.99,,10/15/2020,,"MULTIPOLYGON (((23.3580595991369 38.531248503071936, 23.357163107927907 38.528638322100285, 23.35384021591491 38.529342464556564, 23.354736595089985 38.5319526696844, 23.3580595991369 38.531248503071936)))",38.5312485,23.3580596
23,ΑΧΑΪΑΣ,Π. ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΟΧΙ,11,11,10/5/2021,,"MULTIPOLYGON (((21.834129098539744 38.3105804236796, 21.841775811747866 38.310721423928314, 21.84209321596006 38.300013320107794, 21.834447625194297 38.29987237368158, 21.834129098539744 38.3105804236796)))",38.31058042,21.8341291
24,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΟΧΙ,2.99,,10/15/2020,,"MULTIPOLYGON (((22.773512898037538 38.3097111637132, 22.772592163120475 38.30710700067899, 22.769287166242645 38.30783242696692, 22.77020779071443 38.31043661379343, 22.773512898037538 38.3097111637132)))",38.30971116,22.7735129
25,ΘΕΣΠΡΩΤΙΑΣ,Π. ΗΠΕΙΡΟΥ,ΟΧΙ,3,,9/28/2020,,"MULTIPOLYGON (((20.34417086481496 39.763172863939296, 20.34064873667174 39.759899113952365, 20.336135448601766 39.76236724791619, 20.339112302148862 39.76608639189486, 20.3435821203999 39.76448461516323, 20.343871884088784 39.76406353123104, 20.344144141493537 39.763373697631934, 20.34417086481496 39.763172863939296)))",39.76317286,20.34417086
26,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΟΧΙ,45.6,45.6,10/26/2022,,"MULTIPOLYGON (((23.372991119229532 38.45186590782374, 23.38629237055394 38.45137896887704, 23.396655198162193 38.45608794360365, 23.411773363395746 38.454734126364244, 23.411881246089212 38.44714109009475, 23.396744667605997 38.44733928152953, 23.389908534872397 38.44397943080588, 23.38136963751928 38.443338047374255, 23.37297619865629 38.444361058637995, 23.372991119229532 38.45186590782374)))",38.45186591,23.37299112
27,ΚΟΖΑΝΗΣ,Π. ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΟΧΙ,3,2.99,5/11/2021,,"MULTIPOLYGON (((21.91240207679019 40.458427996936464, 21.915220820463706 40.4627479280527, 21.918379035665687 40.46275609516638, 21.918320533711167 40.45847389564753, 21.91240207679019 40.458427996936464)))",40.458428,21.91240208
28,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΟΧΙ,2.99,,10/15/2020,,"MULTIPOLYGON (((23.24739713434426 38.46827797374319, 23.246858269228728 38.46560787895754, 23.243462117338016 38.46603147928393, 23.244000859852825 38.468701588246404, 23.24739713434426 38.46827797374319)))",38.46827797,23.24739713
29,ΡΟΔΟΠΗΣ,Π. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,ΟΧΙ,3,,9/28/2020,,"MULTIPOLYGON (((25.708804313589766 41.16751386067011, 25.707540967230962 41.166980335417165, 25.702381076657222 41.17101691182562, 25.703842365079876 41.171851308212396, 25.708769767295212 41.17121254459631, 25.708804313589766 41.16751386067011)))",41.16751386,25.70880431
