,kal_perif_enothta,kal_perifereia,epo,power_mw,max_power,imerominia_ekdosis_adeias,area_m2,geometry,xmu,ymu
22,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,6.6,6.6,3/5/2014,,"MULTIPOLYGON (((22.93251048529685 38.27810367852194, 22.93570383751604 38.27863736511689, 22.935957065888825 38.27617035728568, 22.93784759793016 38.27431297765455, 22.93495439360002 38.272808771778834, 22.933232690154355 38.274063831918305, 22.932111790388635 38.274882745046355, 22.93222071368135 38.27576655791343, 22.93209832854204 38.27580185277133, 22.931989062779618 38.27701748624789, 22.93251048529685 38.27810367852194)))",38.27810368,22.93251049
23,ΡΟΔΟΠΗΣ,Π. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,ΝΑΙ,25.3,25.3,2/26/2014,,"MULTIPOLYGON (((25.77863564703223 41.26835768440655, 25.776966499863565 41.268626432216635, 25.774980730229323 41.26777758942607, 25.77208768246022 41.267383999090555, 25.769640665577757 41.26748431832202, 25.769815678549353 41.26973179285069, 25.771901362029908 41.26964628867468, 25.773951562141804 41.26992521241305, 25.776481289183636 41.27100655868739, 25.779258443451415 41.27055942373058, 25.77863564703223 41.26835768440655)), ((25.783345810548063 41.26568760454189, 25.780482083168007 41.26806036084723, 25.782718297047836 41.26959677540437, 25.785525737324537 41.26719712775876, 25.783345810548063 41.26568760454189)), ((25.753318205272336 41.27171082922921, 25.75172483963075 41.27195677052417, 25.7484893374806 41.273357475491714, 25.745911540601515 41.27391934116213, 25.744360866653142 41.27477463213539, 25.746125229252893 41.27659080083045, 25.747247194067967 41.27597164472683, 25.749662900226944 41.27544509557172, 25.752793533620277 41.2740897910537, 25.754103141809694 41.27388764351082, 25.753318205272336 41.27171082922921)), ((25.76850801544253 41.26759374764956, 25.76649267487764 41.26784751923171, 25.764932471863663 41.26836921985846, 25.760469374094843 41.2678458639132, 25.75782001902359 41.26957898028496, 25.756671781011477 41.27119311589412, 25.759301112056534 41.27225774624996, 25.76018966124887 41.271008604435394, 25.76137856002375 41.270230860028924, 25.765340272001765 41.27069537898903, 25.76735641839922 41.270021228456436, 25.768999259504433 41.26981435792742, 25.76850801544253 41.26759374764956)))",41.26835768,25.77863565
24,ΒΟΙΩΤΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,10.35,10.35,2/26/2014,,"MULTIPOLYGON (((22.947703648367227 38.26390271313028, 22.9468348274902 38.262326814784366, 22.944344757230688 38.262998370248916, 22.94212834162195 38.26450145178339, 22.94113651484706 38.266682441715254, 22.939275549006314 38.268098553794935, 22.938927440853913 38.2692399399952, 22.940934545189116 38.27035754658198, 22.941342392829984 38.26903645197185, 22.943110993367196 38.26768255986341, 22.94440653887685 38.265837733156495, 22.945688211718977 38.264948047773245, 22.947703648367227 38.26390271313028)))",38.26390271,22.94770365
25,ΞΑΝΘΗΣ,Π. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,ΝΑΙ,6.6,6,8/29/2013,,"MULTIPOLYGON (((24.962683900518943 41.18111870442345, 24.9635245017618 41.18238734779017, 24.966386101774123 41.18164514470306, 24.96897428054312 41.18009767220517, 24.968030699718707 41.17780431535478, 24.967790563538788 41.17678355198833, 24.965869317657837 41.17684827576029, 24.966135163432032 41.17802939083562, 24.96677085590005 41.17956176407184, 24.96549704179498 41.180364407906495, 24.962683900518943 41.18111870442345)), ((24.953852109024314 41.184795051180004, 24.95536787476628 41.18565218211959, 24.95743543945953 41.1836475509977, 24.960322458205546 41.1835936090198, 24.961911106716467 41.18296185520351, 24.96177157522742 41.18142786275091, 24.959806856675627 41.18214541319343, 24.956484547478365 41.182188005118114, 24.953852109024314 41.184795051180004)))",41.1811187,24.9626839
26,ΞΑΝΘΗΣ,Π. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,ΝΑΙ,6.6,6,8/29/2013,,"MULTIPOLYGON (((24.97503484445024 41.18827118146772, 24.97691337747225 41.190253656020246, 24.98526992063331 41.18612458994694, 24.985300269643496 41.18604782967651, 24.983429344973953 41.18406726256085, 24.97503484445024 41.18827118146772)))",41.18827118,24.97503484
27,ΖΑΚΥΝΘΟΥ,Π. ΙΟΝΙΩΝ ΝΗΣΩΝ,ΝΑΙ,2.4,2.4,7/9/2013,,"MULTIPOLYGON (((20.72655072058961 37.826009767477856, 20.724785603637205 37.825685238112925, 20.723744095142617 37.82617263597323, 20.72329840756831 37.82741678269596, 20.722446970675772 37.828511919751534, 20.722837845439585 37.82948674052183, 20.722720555614288 37.830179727318175, 20.72326026707172 37.831219815995055, 20.72436533996027 37.831749766456994, 20.725790244727154 37.83142795287746, 20.72662109959049 37.830587120521855, 20.7263606389224 37.82932661163656, 20.726571295344495 37.82848902984412, 20.727256116406288 37.827234309081355, 20.72655072058961 37.826009767477856)))",37.82600977,20.72655072
28,ΚΕΦΑΛΛΗΝΙΑΣ,Π. ΙΟΝΙΩΝ ΝΗΣΩΝ,ΝΑΙ,2.4,2.4,7/9/2013,,"MULTIPOLYGON (((20.34779322682833 38.19270978159977, 20.346616481449427 38.191956727280825, 20.34508863707229 38.190272346412385, 20.343040168096543 38.19122136054022, 20.34294704821118 38.191703114093414, 20.344702353304708 38.19289920037522, 20.345282851596536 38.19421683912236, 20.34579272706799 38.19471494031021, 20.347848960618947 38.193939061354854, 20.34779322682833 38.19270978159977)), ((20.34579403033767 38.194720581976654, 20.345965008565106 38.19566121233381, 20.346441302223855 38.196473462972534, 20.348501349844035 38.19644001468268, 20.34921689597712 38.19586852391103, 20.34919709215893 38.19462873175539, 20.347857046685323 38.193946463483115, 20.34579403033767 38.194720581976654)))",38.19270978,20.34779323
29,ΡΟΔΟΠΗΣ,Π. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,ΝΑΙ,4.6,4.6,7/3/2013,,"MULTIPOLYGON (((25.92999513642958 41.12606842230209, 25.92747694181206 41.1237577133128, 25.926791881341618 41.12436365686711, 25.92658874003215 41.125970350850665, 25.928425623133 41.12707803770538, 25.92999513642958 41.12606842230209)))",41.12606842,25.92999514
30,ΣΕΡΡΩΝ,Π. ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΝΑΙ,3.3,3,11/8/2012,,"MULTIPOLYGON (((23.34522617981262 41.307702076184775, 23.345680355893588 41.312615961595, 23.350806531889734 41.31113692063432, 23.349502136654458 41.30753824035626, 23.34522617981262 41.307702076184775)))",41.30770208,23.34522618
31,ΡΟΔΟΠΗΣ,Π. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,ΝΑΙ,33.6,33.6,10/17/2012,,"MULTIPOLYGON (((25.835810039882023 41.33827060038787, 25.83678798901358 41.339797507475595, 25.837778691469488 41.33960310190913, 25.83821040992848 41.33946286898402, 25.839531208612375 41.33877507717249, 25.841400515274515 41.33863128276706, 25.845997262157457 41.337046147167655, 25.85021068183612 41.33263033692572, 25.85017616101912 41.33150379046559, 25.850950760744475 41.33034980962556, 25.851320912477675 41.32837813997927, 25.85300275459841 41.32692565428941, 25.858830850336133 41.32673600594751, 25.859391982423613 41.32606203946259, 25.86104134021287 41.32692424238782, 25.86104823886577 41.3246365160728, 25.85239456126684 41.323898001924796, 25.842729702125656 41.32019183742998, 25.828609089151772 41.32209054524724, 25.82992008120131 41.326612893982215, 25.84225107668622 41.32545072101002, 25.848600520089107 41.32821724944805, 25.845123099445473 41.332956891623326, 25.843561323369915 41.33595955082044, 25.835810039882023 41.33827060038787)), ((25.820769975173917 41.30145031999467, 25.83261358449702 41.303231882325704, 25.841735534888375 41.30915970715801, 25.84024228538714 41.309843410757516, 25.845501719068114 41.31329181829355, 25.847724817198717 41.31091703721407, 25.847817685992588 41.30837272761848, 25.84658813381962 41.3065583855108, 25.83882786337359 41.29965962857886, 25.82224877755841 41.29638406127853, 25.820769975173917 41.30145031999467)))",41.3382706,25.83581004
